"id_product";"product";"Id_lang"
1;"Stammkunden Set (Nachfüll Pass / Bonuskarten) - 1 Stück";3
2;"Refill24 Stempel Bonuskarten (Schwarz) - 1 Stück";3
3;"Refill24 Stempel Bonuskarten (Rot) - 1 Stück";3
4;"Nachfüll-Pässe/Bonuskarten (10 Bögen á 10 Stück) - 1 Stück";3
5;"Refill24 Blanko Mehrwertkarten + 1 Poster Mehrwertkarten DIN A2 - 100 Stück";3
6;"Refill24 personalisierte Mehrwertkarten + 1 Poster DIN A2 - 250 Stück";3
7;"Refill24 Bonbons - Frucht (Rot) - 250 g";3
8;"Refill24 Bonbons - Sahne Extra (Gold) - 250 g";3
9;"Refill24 Bonbons - Frucht (Rot) - 500 g";3
10;"Refill24 Bonbons - Sahne Extra (Gold) - 500 g";3
11;"Refill24 Bonbons - Frucht (Rot) - 1 kg";3
12;"Refill24 Bonbons - Sahne Extra (Gold) - 1 kg";3
13;"1 liter OCP Brother DCP-130C, DCP-135C (Black)";3
14;"1 liter OCP Brother DCP-130C, DCP-135C (Cyan)";3
15;"1 liter OCP Brother DCP-130C, DCP-135C (Magenta)";3
16;"1 liter OCP Brother DCP-130C, DCP-135C (Yellow)";3
17;"1 liter OCP Brother HJ 100 (BC 01) (Black)";3
18;"1 liter OCP Brother MFC-LW - PD 7050-6400 (LC-*) (Black)";3
19;"1 liter OCP Brother MFC-LW - PD 7050-6400 (LC-*) (Cyan)";3
20;"1 liter OCP Brother MFC-LW - PD 7050-6400 (LC-*) (Magenta)";3
21;"1 liter OCP Brother MFC-LW - PD 7050-6400 (LC-*) (Yellow)";3
22;"1 liter OCP Brother MFC-3240, 5840 CN, 200/400 Serie (LC-900C) (Cyan)";3
23;"1 liter OCP Brother MFC-3240, 5840 CN, 200/400 Serie (LC-900B) (Black)";3
24;"1 liter OCP Brother MFC-3240, 5840 CN, 200/400 Serie (LC-900M) (Magenta)";3
25;"1 liter OCP Brother MFC-3240, 5840 CN, 200/400 Serie (LC-900Y) (Yellow)";3
26;"1 liter OCP Brother MFC-730-740-750 (LC-600) (Black)";3
27;"1 liter OCP Brother MFC-730-740-750 (LC-600) (Cyan)";3
28;"1 liter OCP Brother MFC-730-740-750 (LC-600) (Magenta)";3
29;"1 liter OCP Brother MFC-730-740-750 (LC-600) (Yellow)";3
30;"1 liter OCP Canon BJ i-250/320/350/450/455 (BCI-24) (Black)";3
31;"1 liter OCP Canon BJ i-250/320/350/450/455 (BCI-24) (Cyan)";3
32;"1 liter OCP Canon BJ i-250/320/350/450/455 (BCI-24) (Magenta)";3
33;"1 liter OCP Canon BJ i-250/320/350/450/455 (BCI-24) (Yellow)";3
34;"1 liter OCP Canon BJ i-550/550x/560/6500/850, S-400 (BCI-3e Bk) (Black)";3
35;"1 liter OCP Canon BJ i-550/550x/6500/850, S-400 (BCI-3e C) (Cyan)";3
