"id_product";"product";"Id_lang"
1;"Regular customers Set (Stamp card / Discount card) - 1 Piece";1
2;"Refill24 Stamp for Bonus cards (Black) - 1 Piece";1
3;"Refill24 Stamp for Bonus cards (Red) - 1 Piece";1
4;"Stamp card / Discount card (10 Sheets / 10 Pieces) - 1 Piece";1
5;"Refill24 White Value cards + 1 Poster Value cards DIN A2 - 100 Pieces";1
6;"Refill24 personal Value cards + 1 Poster DIN A2 - 250 Pieces";1
7;"Refill24 Candies - Fruit (Red) - 250 g";1
8;"Refill24 Candies - Soft Padding (Golden) - 250 g";1
9;"Refill24 Candies - Fruit (Red) - 500 g";1
10;"Refill24 Candies - Soft Padding (Golden) - 500 g";1
11;"Refill24 Candies - Fruit (Red) - 1 kg";1
12;"Refill24 Candies - Soft Padding (Golden) - 1 kg";1
13;"1 litre OCP Brother DCP-130C, DCP-135C (Black)";1
14;"1 litre OCP Brother DCP-130C, DCP-135C (Cyan)";1
15;"1 litre OCP Brother DCP-130C, DCP-135C (Magenta)";1
16;"1 litre OCP Brother DCP-130C, DCP-135C (Yellow)";1
17;"1 litre OCP Brother HJ 100 (BC 01) (Black)";1
18;"1 litre OCP Brother MFC-LW - PD 7050-6400 (LC-*) (Black)";1
19;"1 litre OCP Brother MFC-LW - PD 7050-6400 (LC-*) (Cyan)";1
20;"1 litre OCP Brother MFC-LW - PD 7050-6400 (LC-*) (Magenta)";1
21;"1 litre OCP Brother MFC-LW - PD 7050-6400 (LC-*) (Yellow)";1
22;"1 litre OCP Brother MFC-3240, 5840 CN, 200/400 Serie (LC-900C) (Cyan)";1
23;"1 litre OCP Brother MFC-3240, 5840 CN, 200/400 Serie (LC-900B) (Black)";1
24;"1 litre OCP Brother MFC-3240, 5840 CN, 200/400 Serie (LC-900M) (Magenta)";1
25;"1 litre OCP Brother MFC-3240, 5840 CN, 200/400 Serie (LC-900Y) (Yellow)";1
26;"1 litre OCP Brother MFC-730-740-750 (LC-600) (Black)";1
27;"1 litre OCP Brother MFC-730-740-750 (LC-600) (Cyan)";1
28;"1 litre OCP Brother MFC-730-740-750 (LC-600) (Magenta)";1
29;"1 litre OCP Brother MFC-730-740-750 (LC-600) (Yellow)";1
30;"1 litre OCP Canon BJ i-250/320/350/450/455 (BCI-24) (Black)";1
31;"1 litre OCP Canon BJ i-250/320/350/450/455 (BCI-24) (Cyan)";1
32;"1 litre OCP Canon BJ i-250/320/350/450/455 (BCI-24) (Magenta)";1
33;"1 litre OCP Canon BJ i-250/320/350/450/455 (BCI-24) (Yellow)";1
34;"1 litre OCP Canon BJ i-550/550x/560/6500/850, S-400 (BCI-3e Bk) (Black)";1
35;"1 litre OCP Canon BJ i-550/550x/6500/850, S-400 (BCI-3e C) (Cyan)";1
36;"1 litre OCP Canon BJ i-550/550x/6500/850, S-400 (BCI-3e M) (Magenta)";1
37;"1 litre OCP Canon BJ i-550/550x/6500/850, S-400 (BCI-3e Y) (Yellow)";1
38;"1 litre OCP Canon BJ i-990/9950, Pixma iP8500 (BCI-6 G) (Green)";1
39;"1 litre OCP Canon BJ i-990/9950, Pixma iP8500 (BCI-6 R) (Red)";1
40;"1 litre OCP Canon BJ S100, BJC-2000 (BCI-21, BC-20, BX-20) (Black)";1
41;"1 litre OCP Canon BJ S100, BJC-2000, 2100 (BCI-21) (Cyan)";1
42;"1 litre OCP Canon BJ S100, BJC-2000, 2100 (BCI-21) (Magenta)";1
43;"1 litre OCP Canon BJ S100, BJC-2000, 2100 (BCI-21) (Yellow)";1
44;"1 litre OCP Canon BJC-50/55/70/80/85 (BCI-11 Black) (Black)";1
45;"1 litre OCP Canon BJC-50/55/70/80/85 (BCI-11 Color) (Cyan)";1
46;"1 litre OCP Canon BJC-50/55/70/80/85 (BCI-11 Color) (Magenta)";1
47;"1 litre OCP Canon BJC-50/55/70/80/85 (BCI-11 Color) (Yellow)";1
48;"1 litre OCP Canon BJC-8200 Photo (BCI-6 Bk) (Black)";1
49;"1 litre OCP Canon BJC-8200 Photo (BCI-6 C) (Cyan)";1
50;"1 litre OCP Canon BJC-8200 Photo (BCI-6 M) (Magenta)";1
51;"1 litre OCP Canon BJC-8200 Photo (BCI-6 PC) (Light Cyan)";1
52;"1 litre OCP Canon BJC-8200 Photo (BCI-6 PM) (Light Magenta)";1
53;"1 litre OCP Canon BJC-8200 Photo (BCI-6 Y) (Yellow)";1
54;"1 litre OCP Canon BJC-6000 Photo (BCI-3e PBK) (Photo Black)";1
55;"1 litre OCP Canon BJC-6000 Photo (BCI-3e PC) (Light Cyan)";1
56;"1 litre OCP Canon BJC-6000 Photo (BCI-3e PM) (Light Magenta)";1
57;"1 litre OCP Canon BJC-150, BJC-200, BJC-1000 (BC-01/BC-02/BX-3) (Black)";1
58;"1 litre OCP Canon BJC-150, BJC-200, BJC-1000 (BC-05) (Cyan)";1
59;"1 litre OCP Canon BJC-150, BJC-200, BJC-1000 (BC-05) (Magenta)";1
60;"1 litre OCP Canon BJC-150, BJC-200, BJC-1000 (BC-05) (Yellow)";1
61;"1 litre OCP Canon BJC-600 Serie (BJI-201 Bk) (Black)";1
