"id_product";"product";"Id_lang"
1;"Clientes regulares Set (Sello de tarjeta / tarjeta de puntos) - 1 Ud.";2
2;"Refill24 Sello para tarjeta de puntos (Black) - 1 Ud.";2
3;"Refill24 Sello para tarjeta de puntos (Red) - 1 Ud.";2
4;"Sello de tarjeta / tarjeta de puntos (10 Folios / 10 Uds.) - 1 Ud.";2
5;"Refill24 tarjetas de puntos en blanco + 1 Poster DIN A2 - 100 Uds.";2
6;"Refill24 tarjetas de puntos personales + 1 Poster DIN A2 - 250 Uds.";2
7;"Refill24 dulces - Fruta (Rojo) - 250 g";2
8;"Refill24 dulces - Masticables (Dorado) - 250 g";2
9;"Refill24 dulces - Fruta (Rojo) - 500 g";2
10;"Refill24 dulces - Masticables (Dorado) - 500 g";2
11;"Refill24 dulces - Fruta (Rojo) - 1 kg";2
12;"Refill24 dulces - Masticables (Dorado) - 1 kg";2
13;"1 litro OCP Brother DCP-130C, DCP-135C (Black)";2
14;"1 litro OCP Brother DCP-130C, DCP-135C (Cyan)";2
15;"1 litro OCP Brother DCP-130C, DCP-135C (Magenta)";2
16;"1 litro OCP Brother DCP-130C, DCP-135C (Yellow)";2
17;"1 litro OCP Brother HJ 100 (BC 01) (Black)";2
18;"1 litro OCP Brother MFC-LW - PD 7050-6400 (LC-*) (Black)";2
19;"1 litro OCP Brother MFC-LW - PD 7050-6400 (LC-*) (Cyan)";2
20;"1 litro OCP Brother MFC-LW - PD 7050-6400 (LC-*) (Magenta)";2
21;"1 litro OCP Brother MFC-LW - PD 7050-6400 (LC-*) (Yellow)";2
22;"1 litro OCP Brother MFC-3240, 5840 CN, 200/400 Serie (LC-900C) (Cyan)";2
23;"1 litro OCP Brother MFC-3240, 5840 CN, 200/400 Serie (LC-900B) (Black)";2
24;"1 litro OCP Brother MFC-3240, 5840 CN, 200/400 Serie (LC-900M) (Magenta)";2
25;"1 litro OCP Brother MFC-3240, 5840 CN, 200/400 Serie (LC-900Y) (Yellow)";2
26;"1 litro OCP Brother MFC-730-740-750 (LC-600) (Black)";2
27;"1 litro OCP Brother MFC-730-740-750 (LC-600) (Cyan)";2
28;"1 litro OCP Brother MFC-730-740-750 (LC-600) (Magenta)";2
29;"1 litro OCP Brother MFC-730-740-750 (LC-600) (Yellow)";2
30;"1 litro OCP Canon BJ i-250/320/350/450/455 (BCI-24) (Black)";2
31;"1 litro OCP Canon BJ i-250/320/350/450/455 (BCI-24) (Cyan)";2
32;"1 litro OCP Canon BJ i-250/320/350/450/455 (BCI-24) (Magenta)";2
33;"1 litro OCP Canon BJ i-250/320/350/450/455 (BCI-24) (Yellow)";2
34;"1 litro OCP Canon BJ i-550/550x/560/6500/850, S-400 (BCI-3e Bk) (Black)";2
35;"1 litro OCP Canon BJ i-550/550x/6500/850, S-400 (BCI-3e C) (Cyan)";2
36;"1 litro OCP Canon BJ i-550/550x/6500/850, S-400 (BCI-3e M) (Magenta)";2
37;"1 litro OCP Canon BJ i-550/550x/6500/850, S-400 (BCI-3e Y) (Yellow)";2
38;"1 litro OCP Canon BJ i-990/9950, Pixma iP8500 (BCI-6 G) (Green)";2
39;"1 litro OCP Canon BJ i-990/9950, Pixma iP8500 (BCI-6 R) (Red)";2
40;"1 litro OCP Canon BJ S100, BJC-2000 (BCI-21, BC-20, BX-20) (Black)";2
41;"1 litro OCP Canon BJ S100, BJC-2000, 2100 (BCI-21) (Cyan)";2
42;"1 litro OCP Canon BJ S100, BJC-2000, 2100 (BCI-21) (Magenta)";2
43;"1 litro OCP Canon BJ S100, BJC-2000, 2100 (BCI-21) (Yellow)";2
44;"1 litro OCP Canon BJC-50/55/70/80/85 (BCI-11 Black) (Black)";2
45;"1 litro OCP Canon BJC-50/55/70/80/85 (BCI-11 Color) (Cyan)";2
46;"1 litro OCP Canon BJC-50/55/70/80/85 (BCI-11 Color) (Magenta)";2
47;"1 litro OCP Canon BJC-50/55/70/80/85 (BCI-11 Color) (Yellow)";2
48;"1 litro OCP Canon BJC-8200 Photo (BCI-6 Bk) (Black)";2
49;"1 litro OCP Canon BJC-8200 Photo (BCI-6 C) (Cyan)";2
50;"1 litro OCP Canon BJC-8200 Photo (BCI-6 M) (Magenta)";2
51;"1 litro OCP Canon BJC-8200 Photo (BCI-6 PC) (Light Cyan)";2
52;"1 litro OCP Canon BJC-8200 Photo (BCI-6 PM) (Light Magenta)";2
53;"1 litro OCP Canon BJC-8200 Photo (BCI-6 Y) (Yellow)";2
54;"1 litro OCP Canon BJC-6000 Photo (BCI-3e PBK) (Photo Black)";2
55;"1 litro OCP Canon BJC-6000 Photo (BCI-3e PC) (Light Cyan)";2
56;"1 litro OCP Canon BJC-6000 Photo (BCI-3e PM) (Light Magenta)";2
57;"1 litro OCP Canon BJC-150, BJC-200, BJC-1000 (BC-01/BC-02/BX-3) (Black)";2
58;"1 litro OCP Canon BJC-150, BJC-200, BJC-1000 (BC-05) (Cyan)";2
59;"1 litro OCP Canon BJC-150, BJC-200, BJC-1000 (BC-05) (Magenta)";2
60;"1 litro OCP Canon BJC-150, BJC-200, BJC-1000 (BC-05) (Yellow)";2
61;"1 litro OCP Canon BJC-600 Serie (BJI-201 Bk) (Black)";2
62;"1 litro OCP Canon BJC-600 Serie (BJI-201 C) (Cyan)";2
63;"1 litro OCP Canon BJC-600 Serie (BJI-201 M) (Magenta)";2
64;"1 litro OCP Canon BJC-600 Serie (BJI-201 Y) (Yellow)";2
65;"1 litro OCP Canon iP2200 er Serie (PG-40/50) (Black)";2
66;"1 litro OCP Canon iP2200 er Serie (CL-41/51) (Cyan)";2
