"id_product";"product";"Id_lang"
1;"Vaste klanten Set (Stempelkaart / Kortingskaart) - 1 Stuks";4
2;"Refill24 Stempel tbv Bonuskaarten (Black) - 1 Stuks";4
3;"Refill24 Stempel tbv Bonuskaarten (Rood) - 1 Stuks";4
4;"Stempelkaart / Kortingskaart (10 Vellen a 10 Stuks) - 1 Stuks";4
5;"Refill24 Blanko Waardekaarten + 1 Poster Waardekaarten DIN A2 - 100 Stuks";4
6;"Refill24 persoonlijke waardekaarten + 1 Poster DIN A2 - 250 Stuks";4
7;"Refill24 Bonbons - Frucht (Rood) - 250 g";4
8;"Refill24 Bonbons - Zachte Vulling (Goud) - 250 g";4
9;"Refill24 Bonbons - Frucht (Rood) - 500 g";4
10;"Refill24 Bonbons - Zachte Vulling (Goud) - 500 g";4
11;"Refill24 Bonbons - Frucht (Rood) - 1 kg";4
12;"Refill24 Bonbons - Zachte Vulling (Goud) - 1 kg";4
13;"1 liter OCP Brother DCP-130C, DCP-135C (Black)";4
14;"1 liter OCP Brother DCP-130C, DCP-135C (Cyan)";4
15;"1 liter OCP Brother DCP-130C, DCP-135C (Magenta)";4
16;"1 liter OCP Brother DCP-130C, DCP-135C (Yellow)";4
17;"1 liter OCP Brother HJ 100 (BC 01) (Black)";4
18;"1 liter OCP Brother MFC-LW - PD 7050-6400 (LC-*) (Black)";4
19;"1 liter OCP Brother MFC-LW - PD 7050-6400 (LC-*) (Cyan)";4
20;"1 liter OCP Brother MFC-LW - PD 7050-6400 (LC-*) (Magenta)";4
21;"1 liter OCP Brother MFC-LW - PD 7050-6400 (LC-*) (Yellow)";4
22;"1 liter OCP Brother MFC-3240, 5840 CN, 200/400 Serie (LC-900C) (Cyan)";4
23;"1 liter OCP Brother MFC-3240, 5840 CN, 200/400 Serie (LC-900B) (Black)";4
24;"1 liter OCP Brother MFC-3240, 5840 CN, 200/400 Serie (LC-900M) (Magenta)";4
25;"1 liter OCP Brother MFC-3240, 5840 CN, 200/400 Serie (LC-900Y) (Yellow)";4
26;"1 liter OCP Brother MFC-730-740-750 (LC-600) (Black)";4
27;"1 liter OCP Brother MFC-730-740-750 (LC-600) (Cyan)";4
28;"1 liter OCP Brother MFC-730-740-750 (LC-600) (Magenta)";4
29;"1 liter OCP Brother MFC-730-740-750 (LC-600) (Yellow)";4
30;"1 liter OCP Canon BJ i-250/320/350/450/455 (BCI-24) (Black)";4
31;"1 liter OCP Canon BJ i-250/320/350/450/455 (BCI-24) (Cyan)";4
32;"1 liter OCP Canon BJ i-250/320/350/450/455 (BCI-24) (Magenta)";4
33;"1 liter OCP Canon BJ i-250/320/350/450/455 (BCI-24) (Yellow)";4
34;"1 liter OCP Canon BJ i-550/550x/560/6500/850, S-400 (BCI-3e Bk) (Black)";4
35;"1 liter OCP Canon BJ i-550/550x/6500/850, S-400 (BCI-3e C) (Cyan)";4
36;"1 liter OCP Canon BJ i-550/550x/6500/850, S-400 (BCI-3e M) (Magenta)";4
37;"1 liter OCP Canon BJ i-550/550x/6500/850, S-400 (BCI-3e Y) (Yellow)";4
38;"1 liter OCP Canon BJ i-990/9950, Pixma iP8500 (BCI-6 G) (Green)";4
39;"1 liter OCP Canon BJ i-990/9950, Pixma iP8500 (BCI-6 R) (Red)";4
40;"1 liter OCP Canon BJ S100, BJC-2000 (BCI-21, BC-20, BX-20) (Black)";4
41;"1 liter OCP Canon BJ S100, BJC-2000, 2100 (BCI-21) (Cyan)";4
